,scongested,iyoy
0,0,
1,0,0.10547668
2,0,0.074368041
3,0,0.06603418600000002
4,1,0.20824717199999998
5,1,0.05210086799999997
6,1,0.08737802300000008
7,1,0.22427835899999993
8,1,0.174855981
9,0,-0.04690865599999994
10,1,-0.009341979
11,1,0.17252942100000002
12,1,1.474324461
13,1,3.573719883
14,1,-0.1997257819999998
15,0,-1.1067121340000003
16,0,-0.22861750899999933
17,1,0.07350750099999992
18,0,-0.2897570500000004
19,0,-0.6865732219999998
20,0,-0.27392163400000014
21,1,0.037919873999999965
22,1,0.09609776500000011
23,1,-0.12169657500000008
24,1,-0.003762195999999829
25,1,1.0706129200000003
26,1,-0.04567501800000073
27,1,-0.10761418599999928
28,1,-0.6673299400000006
29,0,-1.1647465989999999
30,1,1.4346746090000004
31,0,-0.29473399800000033
32,0,-0.8817383460000001
33,0,0.21278491300000013
34,0,-0.48064202200000006
